
Step 1000, Avg Loss: 0.6820446678996086, F1 Score: 0.5725696154056568
Step 2000, Avg Loss: 0.6745714381933212, F1 Score: 0.6471112042323608
Step 3000, Avg Loss: 0.6611055792868137, F1 Score: 0.6298599407217993
Step 4000, Avg Loss: 0.6534568316936493, F1 Score: 0.6913994800693241
Step 5000, Avg Loss: 0.6414124419987202, F1 Score: 0.6668228404099561
Step 6000, Avg Loss: 0.6411472640037537, F1 Score: 0.7095882840563692
Step 7000, Avg Loss: 0.627735270023346, F1 Score: 0.7299018020934499
Step 8000, Avg Loss: 0.6169160022139549, F1 Score: 0.7489352752510647
Step 9000, Avg Loss: 0.6142969070672989, F1 Score: 0.7618950273419532
Step 10000, Avg Loss: 0.5991493299007415, F1 Score: 0.7617815943303502
Step 11000, Avg Loss: 0.5966821035444736, F1 Score: 0.7669907855215599
Step 12000, Avg Loss: 0.5906084209382534, F1 Score: 0.7725230908999142
Step 13000, Avg Loss: 0.5914995300918817, F1 Score: 0.7759127359665289
Step 14000, Avg Loss: 0.5847365988940001, F1 Score: 0.7793520261567423
Step 15000, Avg Loss: 0.5739159944280982, F1 Score: 0.7790831375293706
Step 16000, Avg Loss: 0.5666028791964054, F1 Score: 0.7854021608643458
Step 17000, Avg Loss: 0.550123063698411, F1 Score: 0.7847890903758737
Step 18000, Avg Loss: 0.558857355542481, F1 Score: 0.7850715444755864
Step 19000, Avg Loss: 0.5606109121665358, F1 Score: 0.783834113443052
Step 20000, Avg Loss: 0.5422005232349039, F1 Score: 0.7848690199251542
Step 21000, Avg Loss: 0.534015203371644, F1 Score: 0.7875292128685794
Step 22000, Avg Loss: 0.5291521888263524, F1 Score: 0.7882972382276972
Step 23000, Avg Loss: 0.523245140273124, F1 Score: 0.7900183195524088
Step 24000, Avg Loss: 0.5244341368824244, F1 Score: 0.7893317350913994
Step 25000, Avg Loss: 0.5241983389481902, F1 Score: 0.7917552271266868
Step 26000, Avg Loss: 0.5202200583145022, F1 Score: 0.791202229299363
Step 27000, Avg Loss: 0.5158303274475038, F1 Score: 0.7922310756972112
