
Step 500, Avg Loss: 0.6933558140993118
Step 1000, Avg Loss: 0.6884149099588395
Step 1500, Avg Loss: 0.6859509682655335
Step 2000, Avg Loss: 0.6796434893608093
Step 2500, Avg Loss: 0.6810234014391899
Step 3000, Avg Loss: 0.6793850405812264
Step 3500, Avg Loss: 0.6723949483036995
Step 4000, Avg Loss: 0.6720508024692535
Step 4500, Avg Loss: 0.6727067557573319
Step 5000, Avg Loss: 0.6686322076916694
Step 5000, F1 Score: 0.6713083841021178
Step 5500, Avg Loss: 0.6590369179844856
Step 6000, Avg Loss: 0.6574414215683937
Step 6500, Avg Loss: 0.6555854512453079
Step 7000, Avg Loss: 0.6516852960586548
Step 7500, Avg Loss: 0.6553774228096009
Step 8000, Avg Loss: 0.6369189901351928
Step 8500, Avg Loss: 0.6493477777242661
Step 9000, Avg Loss: 0.6460206061601639
Step 9500, Avg Loss: 0.6337431107163429
Step 10000, Avg Loss: 0.6268140490651131
Step 10000, F1 Score: 0.6944883549372958
Step 10500, Avg Loss: 0.644626070201397
Step 11000, Avg Loss: 0.6352247194647789
Step 11500, Avg Loss: 0.6216003767251969
Step 12000, Avg Loss: 0.6352169676423073
Step 12500, Avg Loss: 0.6375240883827209
Step 13000, Avg Loss: 0.6138459245562553
Step 13500, Avg Loss: 0.6222425343990325
Step 14000, Avg Loss: 0.6166794980466366
Step 14500, Avg Loss: 0.6305351192355156
Step 15000, Avg Loss: 0.615266099512577
Step 15000, F1 Score: 0.7310018141503729
Step 15500, Avg Loss: 0.6101042896807194
Step 16000, Avg Loss: 0.6234373429119587
Step 16500, Avg Loss: 0.6205371733009816
Step 17000, Avg Loss: 0.6033712348937988
Step 17500, Avg Loss: 0.6140718475878238
Step 18000, Avg Loss: 0.6002433925271035
Step 18500, Avg Loss: 0.6051096396148204
Step 19000, Avg Loss: 0.5921926011741161
Step 19500, Avg Loss: 0.5830181266367436
Step 20000, Avg Loss: 0.597384151160717
Step 20000, F1 Score: 0.7433412815179341
Step 20500, Avg Loss: 0.5758359303176404
Step 21000, Avg Loss: 0.5863743121325969
Step 21500, Avg Loss: 0.6054133330285549
Step 22000, Avg Loss: 0.6004151094257831
Step 22500, Avg Loss: 0.5938860574215651
Step 23000, Avg Loss: 0.5848999798595905
Step 23500, Avg Loss: 0.5892462409138679
Step 24000, Avg Loss: 0.5824407357126474
Step 24500, Avg Loss: 0.5703997270166874
Step 25000, Avg Loss: 0.5770223616808653
Step 25000, F1 Score: 0.7510083218461224
Step 25500, Avg Loss: 0.5602649890780449
Step 26000, Avg Loss: 0.5575482513308525
Step 26500, Avg Loss: 0.5817410647273064
Step 27000, Avg Loss: 0.5709311989247798
Step 27500, Avg Loss: 0.5918228320777417
Step 28000, Avg Loss: 0.5818191436380148
Step 28500, Avg Loss: 0.564247202038765
Step 29000, Avg Loss: 0.5768238355517388
Step 29500, Avg Loss: 0.5557381001710892
Step 30000, Avg Loss: 0.5529984900504351
Step 30000, F1 Score: 0.7621610845295056
Step 30500, Avg Loss: 0.5487452366054059
Step 31000, Avg Loss: 0.5589919470101595
Step 31500, Avg Loss: 0.5673144627958536
Step 32000, Avg Loss: 0.5695080700814724
Step 32500, Avg Loss: 0.5629360841959715
Step 33000, Avg Loss: 0.5501031367778778
Step 33500, Avg Loss: 0.5605263913869858
Step 34000, Avg Loss: 0.5558084561377764
Step 34500, Avg Loss: 0.5417823485732078
Step 35000, Avg Loss: 0.5442915072739124
Step 35000, F1 Score: 0.7680700165987626
Step 35500, Avg Loss: 0.537381251052022
Step 36000, Avg Loss: 0.5570949726849794
Step 36500, Avg Loss: 0.5521108731478452
Step 37000, Avg Loss: 0.5376571502387524
Step 37500, Avg Loss: 0.5379874133095145
Step 38000, Avg Loss: 0.5309237416386604
Step 38500, Avg Loss: 0.5365495731383562
Step 39000, Avg Loss: 0.5465934877842664
Step 39500, Avg Loss: 0.5265005537122488
Step 40000, Avg Loss: 0.5369232785180211
Step 40000, F1 Score: 0.767062696085995
Step 40500, Avg Loss: 0.536084735840559
Step 41000, Avg Loss: 0.5337358118146658
Step 41500, Avg Loss: 0.5444129764437675
Step 42000, Avg Loss: 0.5558285506293178
Step 42500, Avg Loss: 0.5194815386533738
Step 43000, Avg Loss: 0.5238627683892846
Step 43500, Avg Loss: 0.540770331248641
Step 44000, Avg Loss: 0.5310389582663775
Step 44500, Avg Loss: 0.5400368418842554
Step 45000, Avg Loss: 0.5050562708601356
Step 45000, F1 Score: 0.773849436147516
Step 45500, Avg Loss: 0.5228997182697058
Step 46000, Avg Loss: 0.5033455948755146
Step 46500, Avg Loss: 0.5346164320483804
Step 47000, Avg Loss: 0.5223083449602127
