
Step 500, Avg Loss: 0.6398799949586391
Step 1000, Avg Loss: 0.5176975408345461
Step 1500, Avg Loss: 0.4726511360257864
Step 2000, Avg Loss: 0.44158731777593496
Step 2500, Avg Loss: 0.4516900983848609
Step 3000, Avg Loss: 0.3986497417241335
Step 3500, Avg Loss: 0.40009165714960543
Step 4000, Avg Loss: 0.40728727345447985
Step 4500, Avg Loss: 0.3751038765311241
Step 5000, Avg Loss: 0.38860699724243025
-----Step 5000, F1 Score: 0.8304321728691476-----
Step 5500, Avg Loss: 0.399813262980897
Step 6000, Avg Loss: 0.40013926694495605
Step 6500, Avg Loss: 0.389708191545913
Step 7000, Avg Loss: 0.3988343469860265
Step 7500, Avg Loss: 0.35308732978772606
Step 8000, Avg Loss: 0.3555634581694612
Step 8500, Avg Loss: 0.4042235863881069
Step 9000, Avg Loss: 0.35135729904979235
Step 9500, Avg Loss: 0.3835724462940125
Step 10000, Avg Loss: 0.3559267232029815
-----Step 10000, F1 Score: 0.8396351984224797-----
Step 10500, Avg Loss: 0.31242917909611423
Step 11000, Avg Loss: 0.413881753799491
Step 11500, Avg Loss: 0.4022254970408976
Step 12000, Avg Loss: 0.31157438140758315
Step 12500, Avg Loss: 0.39174764796957606
Step 13000, Avg Loss: 0.37278592549823225
Step 13500, Avg Loss: 0.32696678638085724
Step 14000, Avg Loss: 0.40536749275703915
Step 14500, Avg Loss: 0.37940842872689245
Step 15000, Avg Loss: 0.36059068115398984
-----Step 15000, F1 Score: 0.8457964933313352-----
Step 15500, Avg Loss: 0.37999280428729254
Step 16000, Avg Loss: 0.35964911945041966
Step 16500, Avg Loss: 0.3931974957106868
Step 17000, Avg Loss: 0.39056094645845585
Step 17500, Avg Loss: 0.3482581593127688
Step 18000, Avg Loss: 0.33523955751000906
Step 18500, Avg Loss: 0.33214577526890204
Step 19000, Avg Loss: 0.36455501896241915
Step 19500, Avg Loss: 0.4033130950613995
Step 20000, Avg Loss: 0.3318971983733354
-----Step 20000, F1 Score: 0.8450339360654888-----
Step 20500, Avg Loss: 0.3157045391170104
Step 21000, Avg Loss: 0.3876454277921366
Step 21500, Avg Loss: 0.35069436380262775
Step 22000, Avg Loss: 0.3256371215227991
Step 22500, Avg Loss: 0.3927891803846578
Step 23000, Avg Loss: 0.3044576074158249
Step 23500, Avg Loss: 0.3767855056807457
Step 24000, Avg Loss: 0.3591264943165515
Step 24500, Avg Loss: 0.35123529356578365
Step 25000, Avg Loss: 0.3304541966941106
-----Step 25000, F1 Score: 0.8546082286371919-----
Step 25500, Avg Loss: 0.37966709062614246
Step 26000, Avg Loss: 0.32555517612517
Step 26500, Avg Loss: 0.4044958650069893
Step 27000, Avg Loss: 0.32395541481990947
Step 27500, Avg Loss: 0.3162527321343077
Step 28000, Avg Loss: 0.336760558342241
Step 28500, Avg Loss: 0.3401875472695101
Step 29000, Avg Loss: 0.3343471189456468
Step 29500, Avg Loss: 0.31417343898670513
Step 30000, Avg Loss: 0.3499059144062194
-----Step 30000, F1 Score: 0.854698227277385-----
Step 30500, Avg Loss: 0.3436553403603321
Step 31000, Avg Loss: 0.2911100096637092
Step 31500, Avg Loss: 0.2783675031994426
Step 32000, Avg Loss: 0.3443278525552596
Step 32500, Avg Loss: 0.3277618822235963
Step 33000, Avg Loss: 0.32300938452189437
Step 33500, Avg Loss: 0.31910859676077963
Step 34000, Avg Loss: 0.29623593383308616
Step 34500, Avg Loss: 0.35009342896816087
Step 35000, Avg Loss: 0.3120423398973653
-----Step 35000, F1 Score: 0.8567230722464282-----
Step 35500, Avg Loss: 0.2892956902009319
