
Step 500, Avg Loss: 0.6428812211155891
Step 1000, Avg Loss: 0.5474448409676552
Step 1500, Avg Loss: 0.45812212947383524
Step 2000, Avg Loss: 0.42723952000401916
Step 2500, Avg Loss: 0.4883525633569807
Step 3000, Avg Loss: 0.4156495730150491
Step 3500, Avg Loss: 0.36012556952470914
Step 4000, Avg Loss: 0.3417577633084729
Step 4500, Avg Loss: 0.3920967832491733
Step 5000, Avg Loss: 0.3840784828560427
-----Step 5000, F1 Score: 0.8325715421303657-----
Step 5500, Avg Loss: 0.3230669034321327
Step 6000, Avg Loss: 0.37746546052070334
Step 6500, Avg Loss: 0.32513760365359484
Step 7000, Avg Loss: 0.40121724705654194
Step 7500, Avg Loss: 0.34134140210109765
Step 8000, Avg Loss: 0.364142038721242
Step 8500, Avg Loss: 0.3445951527438592
Step 9000, Avg Loss: 0.3645264411625685
Step 9500, Avg Loss: 0.34770809060451574
Step 10000, Avg Loss: 0.38090697679505686
-----Step 10000, F1 Score: 0.8408753341915041-----
Step 10500, Avg Loss: 0.3846508750197245
Step 11000, Avg Loss: 0.36954770002001897
Step 11500, Avg Loss: 0.3356831035350915
Step 12000, Avg Loss: 0.35151935418974606
Step 12500, Avg Loss: 0.3670144821017748
Step 13000, Avg Loss: 0.32447489377483724
Step 13500, Avg Loss: 0.3662807980990037
Step 14000, Avg Loss: 0.346691668063635
Step 14500, Avg Loss: 0.3521079688370228
Step 15000, Avg Loss: 0.3774432544982992
-----Step 15000, F1 Score: 0.8458930647036033-----
Step 15500, Avg Loss: 0.38422580164507963
Step 16000, Avg Loss: 0.38458067367831245
Step 16500, Avg Loss: 0.3633572807635646
Step 17000, Avg Loss: 0.3541100440575974
Step 17500, Avg Loss: 0.3269171479864744
Step 18000, Avg Loss: 0.38623493435519046
Step 18500, Avg Loss: 0.32670972296013495
Step 19000, Avg Loss: 0.34774754039233086
Step 19500, Avg Loss: 0.33475351629266514
Step 20000, Avg Loss: 0.33425546094810127
-----Step 20000, F1 Score: 0.8478425435276306-----
Step 20500, Avg Loss: 0.33413620193197857
Step 21000, Avg Loss: 0.3604423094090307
Step 21500, Avg Loss: 0.33515720801753923
Step 22000, Avg Loss: 0.3028501317454502
Step 22500, Avg Loss: 0.3638079494082485
Step 23000, Avg Loss: 0.33155222914018667
Step 23500, Avg Loss: 0.34331902391056063
Step 24000, Avg Loss: 0.3376988568217494
Step 24500, Avg Loss: 0.35030485091306035
Step 25000, Avg Loss: 0.3544798495511641
-----Step 25000, F1 Score: 0.8518895793012122-----
Step 25500, Avg Loss: 0.36514567488175814
Step 26000, Avg Loss: 0.3659958391940454
Step 26500, Avg Loss: 0.3409587247292511
Step 27000, Avg Loss: 0.32570517355692574
Step 27500, Avg Loss: 0.2920059213893255
Step 28000, Avg Loss: 0.31333126253340743
Step 28500, Avg Loss: 0.3444340310941334
Step 29000, Avg Loss: 0.3320033138845465
Step 29500, Avg Loss: 0.3539410379396868
Step 30000, Avg Loss: 0.3238055614066543
-----Step 30000, F1 Score: 0.8558134778607219-----
Step 30500, Avg Loss: 0.2963154657483683
Step 31000, Avg Loss: 0.3113998849853524
Step 31500, Avg Loss: 0.3640167974243523
Step 32000, Avg Loss: 0.38605658049322666
Step 32500, Avg Loss: 0.2767815940564033
Step 33000, Avg Loss: 0.3383172350444365
Step 33500, Avg Loss: 0.3221945590004325
Step 34000, Avg Loss: 0.33138402272335954
Step 34500, Avg Loss: 0.3171791229277733
Step 35000, Avg Loss: 0.35450470710164517
-----Step 35000, F1 Score: 0.8526261585993821-----
Step 35500, Avg Loss: 0.33059987619140885
Step 36000, Avg Loss: 0.31370841228810603
Step 36500, Avg Loss: 0.35207653165166264
Step 37000, Avg Loss: 0.31381453483365473
Step 37500, Avg Loss: 0.32681510504980543
Step 38000, Avg Loss: 0.3548027248379658
Step 38500, Avg Loss: 0.3509022107368364
Step 39000, Avg Loss: 0.3159721879439021
Step 39500, Avg Loss: 0.32930317754420685
Step 40000, Avg Loss: 0.24533388038784323
-----Step 40000, F1 Score: 0.8626961127210953-----
Step 40500, Avg Loss: 0.3740036346671404
Step 41000, Avg Loss: 0.31559845189368935
Step 41500, Avg Loss: 0.32481806659764695
Step 42000, Avg Loss: 0.331228268446408
Step 42500, Avg Loss: 0.3511430788739817
Step 43000, Avg Loss: 0.30462025536899456
Step 43500, Avg Loss: 0.3663467973194638
Step 44000, Avg Loss: 0.2964044854508247
Step 44500, Avg Loss: 0.35622013779147527
Step 45000, Avg Loss: 0.32463360612516406
-----Step 45000, F1 Score: 0.8573778920308484-----
Step 45500, Avg Loss: 0.29163904823717895
Step 46000, Avg Loss: 0.2817850196629006
Step 46500, Avg Loss: 0.3575947117816686
Step 47000, Avg Loss: 0.3881711214251118
Step 47500, Avg Loss: 0.33475840471772245
Step 48000, Avg Loss: 0.329809689311136
Step 48500, Avg Loss: 0.31449550658218506
Step 49000, Avg Loss: 0.3183089518209163
Step 49500, Avg Loss: 0.32406000854688316
Step 50000, Avg Loss: 0.27064733090717347
-----Step 50000, F1 Score: 0.8670316973928769-----
Step 50500, Avg Loss: 0.30091190020593056
Step 51000, Avg Loss: 0.33395938824571203
Step 51500, Avg Loss: 0.3197993086046772
Step 52000, Avg Loss: 0.3071944967727468
Step 52500, Avg Loss: 0.33436509666236813
Step 53000, Avg Loss: 0.32414973135822217
Step 53500, Avg Loss: 0.3081326543854957
Step 54000, Avg Loss: 0.3136280823803099
Step 54500, Avg Loss: 0.329284475400229
Step 55000, Avg Loss: 0.31310600777555375
-----Step 55000, F1 Score: 0.8675291455556102-----
Step 55500, Avg Loss: 0.28217810165292756
Step 56000, Avg Loss: 0.31475614644179584
Step 56500, Avg Loss: 0.33322776316555974
Step 57000, Avg Loss: 0.2952446295542395
Step 57500, Avg Loss: 0.3221058479981293
Step 58000, Avg Loss: 0.30656710309354823
Step 58500, Avg Loss: 0.2928332729168251
Step 59000, Avg Loss: 0.3242384089246625
Step 59500, Avg Loss: 0.33896278242365224
Step 60000, Avg Loss: 0.3046632178289001
-----Step 60000, F1 Score: 0.8688657290296469-----
Step 60500, Avg Loss: 0.3890144479278824
Step 61000, Avg Loss: 0.3389384769073804
Step 61500, Avg Loss: 0.2775040173748857
Step 62000, Avg Loss: 0.27431069659107016
Step 62500, Avg Loss: 0.3108033841070428
Step 63000, Avg Loss: 0.2977680558387656
Step 63500, Avg Loss: 0.36401415480702415
Step 64000, Avg Loss: 0.31338214798731495
Step 64500, Avg Loss: 0.3016781566672071
Step 65000, Avg Loss: 0.3175482646382297
-----Step 65000, F1 Score: 0.8701292171552114-----
Step 65500, Avg Loss: 0.32405105917019683
Step 66000, Avg Loss: 0.29235226683829385
Step 66500, Avg Loss: 0.3678938947840361
Step 67000, Avg Loss: 0.3448479398935742
Step 67500, Avg Loss: 0.31455245149435357
Step 68000, Avg Loss: 0.30879326578474137
Step 68500, Avg Loss: 0.3395848136817367
Step 69000, Avg Loss: 0.29840948522510735
Step 69500, Avg Loss: 0.3662716589093907
Step 70000, Avg Loss: 0.3758171544777579
-----Step 70000, F1 Score: 0.8680307149329899-----
Step 70500, Avg Loss: 0.3356206023877021
