
Step 500, Avg Loss: 0.6433961237370968
Step 1000, Avg Loss: 0.5296456232219935
Step 1500, Avg Loss: 0.4497604690399021
Step 2000, Avg Loss: 0.44424202137067914
Step 2500, Avg Loss: 0.3966269247396849
Step 3000, Avg Loss: 0.3663795781407971
Step 3500, Avg Loss: 0.3616273194097448
Step 4000, Avg Loss: 0.4268269411008805
Step 4500, Avg Loss: 0.33344488705822733
Step 5000, Avg Loss: 0.3815228582355194
-----Step 5000, F1 Score: 0.8301924221384646-----
Step 5500, Avg Loss: 0.44950330850406317
Step 6000, Avg Loss: 0.3680499059354188
Step 6500, Avg Loss: 0.3568153776796826
Step 7000, Avg Loss: 0.3891559804998396
Step 7500, Avg Loss: 0.33280476552521576
Step 8000, Avg Loss: 0.35958074172533816
Step 8500, Avg Loss: 0.3470920455358573
Step 9000, Avg Loss: 0.3409939298251411
Step 9500, Avg Loss: 0.36490991805749945
Step 10000, Avg Loss: 0.3904758805107558
-----Step 10000, F1 Score: 0.8407803018905772-----
Step 10500, Avg Loss: 0.35199558012280613
Step 11000, Avg Loss: 0.3540826144638704
Step 11500, Avg Loss: 0.36232920785882744
Step 12000, Avg Loss: 0.31391427797204235
Step 12500, Avg Loss: 0.40988346095278394
Step 13000, Avg Loss: 0.4205520646509831
Step 13500, Avg Loss: 0.3893837888800772
Step 14000, Avg Loss: 0.37694494383310667
Step 14500, Avg Loss: 0.42129804141283966
Step 15000, Avg Loss: 0.33381922825158106
-----Step 15000, F1 Score: 0.8471857828820355-----
Step 15500, Avg Loss: 0.3947018239139579
Step 16000, Avg Loss: 0.37690855803899465
Step 16500, Avg Loss: 0.40215764088672584
Step 17000, Avg Loss: 0.34805206893221474
Step 17500, Avg Loss: 0.3524613924203441
Step 18000, Avg Loss: 0.335800572532462
Step 18500, Avg Loss: 0.3218236326773185
Step 19000, Avg Loss: 0.3127971113054664
Step 19500, Avg Loss: 0.3581829887560452
Step 20000, Avg Loss: 0.2926484600921103
-----Step 20000, F1 Score: 0.8420116175624052-----
Step 20500, Avg Loss: 0.3458974934149301
Step 21000, Avg Loss: 0.34307404592284
Step 21500, Avg Loss: 0.3725346214571619
Step 22000, Avg Loss: 0.3268915114440024
Step 22500, Avg Loss: 0.30894159946212313
Step 23000, Avg Loss: 0.35046530171833
Step 23500, Avg Loss: 0.40767586789140475
Step 24000, Avg Loss: 0.3773068164724391
Step 24500, Avg Loss: 0.36340163321141156
Step 25000, Avg Loss: 0.34767145283112766
-----Step 25000, F1 Score: 0.8555739138886189-----
Step 25500, Avg Loss: 0.3240000560823828
Step 26000, Avg Loss: 0.3819984440971166
Step 26500, Avg Loss: 0.3265131610436365
Step 27000, Avg Loss: 0.3084043309878325
Step 27500, Avg Loss: 0.32761026997942827
Step 28000, Avg Loss: 0.3042038095181342
Step 28500, Avg Loss: 0.3620942802489735
Step 29000, Avg Loss: 0.29785474894789515
Step 29500, Avg Loss: 0.3522312195999548
Step 30000, Avg Loss: 0.3347787070815684
-----Step 30000, F1 Score: 0.8541499599037691-----
Step 30500, Avg Loss: 0.311839581467153
Step 31000, Avg Loss: 0.30045557681680657
Step 31500, Avg Loss: 0.33678317682887426
Step 32000, Avg Loss: 0.3657228429901879
Step 32500, Avg Loss: 0.32714413158073147
Step 33000, Avg Loss: 0.33767475881031717
Step 33500, Avg Loss: 0.2992401293298462
Step 34000, Avg Loss: 0.3338223926244536
Step 34500, Avg Loss: 0.3491800188935886
Step 35000, Avg Loss: 0.3847005850322312
-----Step 35000, F1 Score: 0.859147919569978-----
Step 35500, Avg Loss: 0.3444779592882842
Step 36000, Avg Loss: 0.35775739678367974
Step 36500, Avg Loss: 0.33399805420218037
Step 37000, Avg Loss: 0.3205440923575079
Step 37500, Avg Loss: 0.33023979583862817
Step 38000, Avg Loss: 0.3283105435351608
Step 38500, Avg Loss: 0.30252387128415287
Step 39000, Avg Loss: 0.3470855384321185
Step 39500, Avg Loss: 0.3640208348920569
Step 40000, Avg Loss: 0.30921242075128247
-----Step 40000, F1 Score: 0.862329206333547-----
Step 40500, Avg Loss: 0.31224076457187766
Step 41000, Avg Loss: 0.3184725773120881
Step 41500, Avg Loss: 0.339454962076823
Step 42000, Avg Loss: 0.3478926814851584
Step 42500, Avg Loss: 0.30849771746085025
Step 43000, Avg Loss: 0.284185512324344
Step 43500, Avg Loss: 0.3204492228105082
Step 44000, Avg Loss: 0.36594553289528997
Step 44500, Avg Loss: 0.3385779985652771
Step 45000, Avg Loss: 0.3309523199755931
-----Step 45000, F1 Score: 0.8622838761560112-----
Step 45500, Avg Loss: 0.3692741327516269
Step 46000, Avg Loss: 0.3152880358088005
Step 46500, Avg Loss: 0.28959527038440136
Step 47000, Avg Loss: 0.343410518879391
Step 47500, Avg Loss: 0.33124070078943624
Step 48000, Avg Loss: 0.2912083362807898
Step 48500, Avg Loss: 0.32350604106705577
Step 49000, Avg Loss: 0.3076307919030078
Step 49500, Avg Loss: 0.31525240021206263
Step 50000, Avg Loss: 0.309803473594191
-----Step 50000, F1 Score: 0.8679207822504591-----
Step 50500, Avg Loss: 0.37136655681033154
Step 51000, Avg Loss: 0.3283958870997594
Step 51500, Avg Loss: 0.326444477908517
Step 52000, Avg Loss: 0.3300235342980013
Step 52500, Avg Loss: 0.3365361043455705
Step 53000, Avg Loss: 0.30462867857208764
Step 53500, Avg Loss: 0.32895426749754736
Step 54000, Avg Loss: 0.3292024801245643
Step 54500, Avg Loss: 0.2728588886265343
Step 55000, Avg Loss: 0.3705423542241697
-----Step 55000, F1 Score: 0.8688395061728396-----
Step 55500, Avg Loss: 0.3287290684109321
Step 56000, Avg Loss: 0.33027222274705126
Step 56500, Avg Loss: 0.3457256307185162
Step 57000, Avg Loss: 0.32910430707465277
Step 57500, Avg Loss: 0.32742907689329875
Step 58000, Avg Loss: 0.295194008500599
Step 58500, Avg Loss: 0.30204797320612126
Step 59000, Avg Loss: 0.294147542309498
Step 59500, Avg Loss: 0.31012015734561466
Step 60000, Avg Loss: 0.29111452102787233
-----Step 60000, F1 Score: 0.8707773203035865-----
Step 60500, Avg Loss: 0.352682490938867
Step 61000, Avg Loss: 0.28983986532335987
Step 61500, Avg Loss: 0.31669693984827607
Step 62000, Avg Loss: 0.3199831437782705
Step 62500, Avg Loss: 0.3305750441934652
Step 63000, Avg Loss: 0.33072057962087276
Step 63500, Avg Loss: 0.3382113361698757
Step 64000, Avg Loss: 0.32886235592817686
Step 64500, Avg Loss: 0.31512790436511934
Step 65000, Avg Loss: 0.3297518400037661
-----Step 65000, F1 Score: 0.8698008128041744-----
Step 65500, Avg Loss: 0.29084277522833146
Step 66000, Avg Loss: 0.2797474106686277
Step 66500, Avg Loss: 0.3043010239469477
Step 67000, Avg Loss: 0.3080440267233425
Step 67500, Avg Loss: 0.32584843547999387
Step 68000, Avg Loss: 0.30473864952255464
Step 68500, Avg Loss: 0.31339469244427165
Step 69000, Avg Loss: 0.27998830897698646
Step 69500, Avg Loss: 0.30487453644561174
Step 70000, Avg Loss: 0.3031066264916808
-----Step 70000, F1 Score: 0.8674969375255206-----
Step 70500, Avg Loss: 0.30581635326387185
Step 71000, Avg Loss: 0.37668357753720194
Step 71500, Avg Loss: 0.3184644475575988
Step 72000, Avg Loss: 0.3055958188180357
Step 72500, Avg Loss: 0.2966681898771203
Step 73000, Avg Loss: 0.3315118773245631
Step 73500, Avg Loss: 0.28954620416936816
Step 74000, Avg Loss: 0.3017355980610446
Step 74500, Avg Loss: 0.2964206783861082
Step 75000, Avg Loss: 0.3122449215814158
-----Step 75000, F1 Score: 0.8686172674448501-----
Step 75500, Avg Loss: 0.2901165993348113
Step 76000, Avg Loss: 0.28845116349754246
Step 76500, Avg Loss: 0.2864099882121736
Step 77000, Avg Loss: 0.3138742964676494
Step 77500, Avg Loss: 0.299740240786472
Step 78000, Avg Loss: 0.33441168833573104
Step 78500, Avg Loss: 0.3130418705537595
Step 79000, Avg Loss: 0.3398526485936309
Step 79500, Avg Loss: 0.27359853153124275
Step 80000, Avg Loss: 0.32152870748089846
-----Step 80000, F1 Score: 0.871659652147457-----
Step 80500, Avg Loss: 0.29785656002881294
Step 81000, Avg Loss: 0.35855169465218206
Step 81500, Avg Loss: 0.34072428623536505
Step 82000, Avg Loss: 0.29087022690533193
Step 82500, Avg Loss: 0.28140395562645426
Step 83000, Avg Loss: 0.36521304480821526
Step 83500, Avg Loss: 0.2908391087855164
Step 84000, Avg Loss: 0.29755578120570864
Step 84500, Avg Loss: 0.3373704153031122
Step 85000, Avg Loss: 0.33650037024288215
-----Step 85000, F1 Score: 0.8731234866828087-----
Step 85500, Avg Loss: 0.30080713643083984
Step 86000, Avg Loss: 0.3188961707149865
Step 86500, Avg Loss: 0.31937505590062937
Step 87000, Avg Loss: 0.3629702550312795
Step 87500, Avg Loss: 0.28396349446200475
Step 88000, Avg Loss: 0.2846133240005365
Step 88500, Avg Loss: 0.338583836314021
Step 89000, Avg Loss: 0.30261192578918056
Step 89500, Avg Loss: 0.31229120972419694
Step 90000, Avg Loss: 0.3351963034274813
-----Step 90000, F1 Score: 0.8719628994858353-----
Step 90500, Avg Loss: 0.3300475799769033
Step 91000, Avg Loss: 0.2861098295019328
Step 91500, Avg Loss: 0.2935606746208373
Step 92000, Avg Loss: 0.31504812285402295
Step 92500, Avg Loss: 0.34505848804768174
Step 93000, Avg Loss: 0.2936763083150072
Step 93500, Avg Loss: 0.2597495618658695
Step 94000, Avg Loss: 0.2868822638357433
Step 94500, Avg Loss: 0.2752139997094332
Step 95000, Avg Loss: 0.32190284153602716
-----Step 95000, F1 Score: 0.8728635682158921-----
Step 95500, Avg Loss: 0.31796812668407254
Step 96000, Avg Loss: 0.3071474831795213
Step 96500, Avg Loss: 0.27899227077723016
Step 97000, Avg Loss: 0.3328315599704656
Step 97500, Avg Loss: 0.3031600121097581
Step 98000, Avg Loss: 0.28354645465782957
Step 98500, Avg Loss: 0.3242128622190794
Step 99000, Avg Loss: 0.3589768742083252
Step 99500, Avg Loss: 0.31707139713328797
Step 100000, Avg Loss: 0.31431269636422804
-----Step 100000, F1 Score: 0.8711574855506112-----
Step 100500, Avg Loss: 0.26939441185861507
Step 101000, Avg Loss: 0.3073698430402801
Step 101500, Avg Loss: 0.32775714014366897
Step 102000, Avg Loss: 0.3341453454798502
Step 102500, Avg Loss: 0.34831864621774367
Step 103000, Avg Loss: 0.32738602363425523
Step 103500, Avg Loss: 0.275698287789381
Step 104000, Avg Loss: 0.33451682518169035
Step 104500, Avg Loss: 0.3091708961143377
Step 105000, Avg Loss: 0.34989187510262854
-----Step 105000, F1 Score: 0.8751566180524232-----
Step 105500, Avg Loss: 0.3150535866807477
