2024-03-01 12:30:42,718 INFO    MainThread:11696 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-03-01 12:30:42,728 INFO    MainThread:11696 [wandb_setup.py:_flush():76] Configure stats pid to 11696
2024-03-01 12:30:42,728 INFO    MainThread:11696 [wandb_setup.py:_flush():76] Loading settings from C:\Users\16979\.config\wandb\settings
2024-03-01 12:30:42,728 INFO    MainThread:11696 [wandb_setup.py:_flush():76] Loading settings from G:\Œ“µƒ‘∆∂À”≤≈Ã\SI 630\Homeworks\Homework2\wandb\settings
2024-03-01 12:30:42,728 INFO    MainThread:11696 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-01 12:30:42,728 INFO    MainThread:11696 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-01 12:30:42,728 INFO    MainThread:11696 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-03-01 12:30:42,734 INFO    MainThread:11696 [wandb_init.py:_log_setup():526] Logging user logs to G:\Œ“µƒ‘∆∂À”≤≈Ã\SI 630\Homeworks\Homework2\wandb\run-20240301_123042-4gxunmdv\logs\debug.log
2024-03-01 12:30:42,735 INFO    MainThread:11696 [wandb_init.py:_log_setup():527] Logging internal logs to G:\Œ“µƒ‘∆∂À”≤≈Ã\SI 630\Homeworks\Homework2\wandb\run-20240301_123042-4gxunmdv\logs\debug-internal.log
2024-03-01 12:30:42,735 INFO    MainThread:11696 [wandb_init.py:_jupyter_setup():472] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000002189BD7A850>
2024-03-01 12:30:42,735 INFO    MainThread:11696 [wandb_init.py:init():566] calling init triggers
2024-03-01 12:30:42,735 INFO    MainThread:11696 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-03-01 12:30:42,738 INFO    MainThread:11696 [wandb_init.py:init():616] starting backend
2024-03-01 12:30:42,738 INFO    MainThread:11696 [wandb_init.py:init():620] setting up manager
2024-03-01 12:30:42,778 INFO    MainThread:11696 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-03-01 12:30:42,782 INFO    MainThread:11696 [wandb_init.py:init():628] backend started and connected
2024-03-01 12:30:42,869 INFO    MainThread:11696 [wandb_run.py:_label_probe_notebook():1295] probe notebook
2024-03-01 12:30:42,878 INFO    MainThread:11696 [wandb_run.py:_label_probe_notebook():1305] Unable to probe notebook: 'gbk' codec can't decode byte 0x80 in position 18818: illegal multibyte sequence
2024-03-01 12:30:42,878 INFO    MainThread:11696 [wandb_init.py:init():720] updated telemetry
2024-03-01 12:30:42,908 INFO    MainThread:11696 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-01 12:30:43,538 INFO    MainThread:11696 [wandb_run.py:_on_init():2262] communicating current version
2024-03-01 12:30:43,968 INFO    MainThread:11696 [wandb_run.py:_on_init():2271] got version response 
2024-03-01 12:30:43,968 INFO    MainThread:11696 [wandb_init.py:init():804] starting run threads in backend
2024-03-01 12:30:45,199 INFO    MainThread:11696 [wandb_run.py:_console_start():2241] atexit reg
2024-03-01 12:30:45,199 INFO    MainThread:11696 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-01 12:30:45,199 INFO    MainThread:11696 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-01 12:30:45,199 INFO    MainThread:11696 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-01 12:30:45,208 INFO    MainThread:11696 [wandb_init.py:init():847] run started, returning control to user process
2024-03-01 12:30:45,208 INFO    MainThread:11696 [wandb_watch.py:watch():51] Watching
