
Epoch  0
Step 100, Avg Loss: 0.6930753356218338
Step 200, Avg Loss: 0.6922827285528182
Step 300, Avg Loss: 0.6903329253196716
Step 400, Avg Loss: 0.6872965425252915
Step 500, Avg Loss: 0.6832651501893997
Step 600, Avg Loss: 0.6783849328756333
Step 700, Avg Loss: 0.6727283251285553
Step 800, Avg Loss: 0.6664111042022705
Step 900, Avg Loss: 0.6596423268318177
Step 1000, Avg Loss: 0.6524060410261154
Step 1100, Avg Loss: 0.6449253779649734
Step 1200, Avg Loss: 0.6372956484556198
Step 1300, Avg Loss: 0.6295104920864105
Step 1400, Avg Loss: 0.6216133517026902
Step 1500, Avg Loss: 0.6138540881872178
Step 1600, Avg Loss: 0.6061709755659104
Step 1700, Avg Loss: 0.5986496162414551
Step 1800, Avg Loss: 0.5914127105474472
