
Epoch  0
Step 100, Avg Loss: 0.6594150149822235
Step 200, Avg Loss: 0.5280901390314102
Step 300, Avg Loss: 0.4731549832224846
Step 400, Avg Loss: 0.45693918734788896
Step 500, Avg Loss: 0.449753449857235
Step 600, Avg Loss: 0.44539265692234037
Step 700, Avg Loss: 0.44271420300006864
Step 800, Avg Loss: 0.4412166026234627
Step 900, Avg Loss: 0.44007647067308425
Step 1000, Avg Loss: 0.4390211006999016
Step 1100, Avg Loss: 0.4380471932888031
Step 1200, Avg Loss: 0.43746301263570786
Step 1300, Avg Loss: 0.43648443728685377
Step 1400, Avg Loss: 0.4356710821390152
Step 1500, Avg Loss: 0.43450205385684965
Step 1600, Avg Loss: 0.43277527958154677
Step 1700, Avg Loss: 0.4315220800042152
Step 1800, Avg Loss: 0.4294488143920898
