
Step 100, Avg Loss: 0.7050650745630265, F1 Score: 0.3454101498053191
Step 200, Avg Loss: 0.7000345730781555, F1 Score: 0.3556165457753382
Step 300, Avg Loss: 0.7013837188482285, F1 Score: 0.39878892733564014
Step 400, Avg Loss: 0.6967344796657562, F1 Score: 0.411628191034567
Step 500, Avg Loss: 0.6961191695928574, F1 Score: 0.4122737035900583
Step 600, Avg Loss: 0.6856914323568344, F1 Score: 0.4294323249367241
Step 700, Avg Loss: 0.6841693487763405, F1 Score: 0.42830223086742447
Step 800, Avg Loss: 0.6950281876325607, F1 Score: 0.4704062338852919
Step 900, Avg Loss: 0.6995347064733505, F1 Score: 0.47438330170777987
Step 1000, Avg Loss: 0.6704000675678253, F1 Score: 0.477587893434605
Step 1100, Avg Loss: 0.6925497597455978, F1 Score: 0.49070716228467814
Step 1200, Avg Loss: 0.6771543425321579, F1 Score: 0.46016959273856445
Step 1300, Avg Loss: 0.6940661972761154, F1 Score: 0.49810079936504337
Step 1400, Avg Loss: 0.6777113610506058, F1 Score: 0.5103432852510343
Step 1500, Avg Loss: 0.6692822182178497, F1 Score: 0.4709403244149159
Step 1600, Avg Loss: 0.6892200216650963, F1 Score: 0.41679199633819397
Step 1700, Avg Loss: 0.6819550603628158, F1 Score: 0.4076126878130217
Step 1800, Avg Loss: 0.6832691800594329, F1 Score: 0.3814884302689181
Step 1900, Avg Loss: 0.6793816623091697, F1 Score: 0.4153794717485791
Step 2000, Avg Loss: 0.6855886387825012, F1 Score: 0.4535637149028078
Step 2100, Avg Loss: 0.6886596810817719, F1 Score: 0.48641419974469635
Step 2200, Avg Loss: 0.6632455956935882, F1 Score: 0.4827331486611265
Step 2300, Avg Loss: 0.6807202082872391, F1 Score: 0.5120538879697472
Step 2400, Avg Loss: 0.6815590539574623, F1 Score: 0.5560092704999449
Step 2500, Avg Loss: 0.6842624005675316, F1 Score: 0.5526698757416322
Step 2600, Avg Loss: 0.6729248243570328, F1 Score: 0.5567991046446559
Step 2700, Avg Loss: 0.6827444991469384, F1 Score: 0.5566766247674877
Step 2800, Avg Loss: 0.678179898262024, F1 Score: 0.592596515384208
Step 2900, Avg Loss: 0.6742965090274811, F1 Score: 0.5813611881834503
Step 3000, Avg Loss: 0.6608131858706474, F1 Score: 0.5894089732528042
Step 3100, Avg Loss: 0.6746522909402848, F1 Score: 0.5902067464635473
Step 3200, Avg Loss: 0.670637139081955, F1 Score: 0.5762081784386617
Step 3300, Avg Loss: 0.6620082578063011, F1 Score: 0.5647126768697661
Step 3400, Avg Loss: 0.6721972596645355, F1 Score: 0.5580380828862819
Step 3500, Avg Loss: 0.6644848021864891, F1 Score: 0.5863644053459651
Step 3600, Avg Loss: 0.6649920397996902, F1 Score: 0.6279045750284002
Step 3700, Avg Loss: 0.6692762356996537, F1 Score: 0.6318709544847426
Step 3800, Avg Loss: 0.6624016925692559, F1 Score: 0.6293180036582179
Step 3900, Avg Loss: 0.6645233064889908, F1 Score: 0.6312884074575565
Step 4000, Avg Loss: 0.6584592121839523, F1 Score: 0.6010391957528521
Step 4100, Avg Loss: 0.6801030397415161, F1 Score: 0.6134528155769443
Step 4200, Avg Loss: 0.6774051350355148, F1 Score: 0.6378609402689461
Step 4300, Avg Loss: 0.6606150311231613, F1 Score: 0.635320251758608
Step 4400, Avg Loss: 0.6585455620288849, F1 Score: 0.6444850065189048
Step 4500, Avg Loss: 0.6694438773393631, F1 Score: 0.6495602690118986
Step 4600, Avg Loss: 0.6603445854783058, F1 Score: 0.6509463233012721
Step 4700, Avg Loss: 0.6656011295318603, F1 Score: 0.6518227009113504
Step 4800, Avg Loss: 0.6570416843891144, F1 Score: 0.6493193717277487
Step 4900, Avg Loss: 0.6544439911842346, F1 Score: 0.6480747900491206
Step 5000, Avg Loss: 0.6521845319867134, F1 Score: 0.6510375415808649
Step 5100, Avg Loss: 0.6514688557386399, F1 Score: 0.6235676415255686
Step 5200, Avg Loss: 0.6663832458853721, F1 Score: 0.6144065325167687
Step 5300, Avg Loss: 0.6492485707998276, F1 Score: 0.6001077392709643
Step 5400, Avg Loss: 0.6771268352866173, F1 Score: 0.6358802127064092
Step 5500, Avg Loss: 0.6424387404322625, F1 Score: 0.64463264408271
Step 5600, Avg Loss: 0.6516490045189858, F1 Score: 0.6746140913953844
Step 5700, Avg Loss: 0.6702171930670738, F1 Score: 0.6716848834811301
Step 5800, Avg Loss: 0.6522022551298141, F1 Score: 0.6767501277465509
Step 5900, Avg Loss: 0.6566334122419357, F1 Score: 0.6718303269740604
Step 6000, Avg Loss: 0.6600772279500962, F1 Score: 0.6822538925800071
Step 6100, Avg Loss: 0.666730885207653, F1 Score: 0.6846602332127061
Step 6200, Avg Loss: 0.6494943264126778, F1 Score: 0.6881109116297626
Step 6300, Avg Loss: 0.6487345123291015, F1 Score: 0.6873582909255807
Step 6400, Avg Loss: 0.6382720038294792, F1 Score: 0.6971759594496741
Step 6500, Avg Loss: 0.6658016300201416, F1 Score: 0.6963424730920956
Step 6600, Avg Loss: 0.6605049076676369, F1 Score: 0.692588700395336
Step 6700, Avg Loss: 0.6357434371113777, F1 Score: 0.6987550240172532
Step 6800, Avg Loss: 0.6531588879227638, F1 Score: 0.7002675747993189
Step 6900, Avg Loss: 0.6389627501368522, F1 Score: 0.7013926215489861
Step 7000, Avg Loss: 0.6293104445934296, F1 Score: 0.6981752916542028
Step 7100, Avg Loss: 0.6461324843764306, F1 Score: 0.6898796301079713
Step 7200, Avg Loss: 0.6493669655919075, F1 Score: 0.696885568623492
Step 7300, Avg Loss: 0.6515720909833909, F1 Score: 0.706002331002331
Step 7400, Avg Loss: 0.6437640774250031, F1 Score: 0.7112589073634205
Step 7500, Avg Loss: 0.6452238038182259, F1 Score: 0.7127043195628622
Step 7600, Avg Loss: 0.6487022164463997, F1 Score: 0.7124761904761905
Step 7700, Avg Loss: 0.6233704948425293, F1 Score: 0.7156585641605426
Step 7800, Avg Loss: 0.6470852434635163, F1 Score: 0.7106930500048738
