
Step 500, Avg Loss: 0.6932771068811416
Step 1000, Avg Loss: 0.691266129732132
Step 1500, Avg Loss: 0.6915564593076706
Step 2000, Avg Loss: 0.683080352127552
Step 2500, Avg Loss: 0.6753630067706108
Step 3000, Avg Loss: 0.672709852039814
Step 3500, Avg Loss: 0.6653092572689057
Step 4000, Avg Loss: 0.6633530615568161
Step 4500, Avg Loss: 0.6587655363678933
Step 5000, Avg Loss: 0.6544876942038536
-----Step 5000, F1 Score: 0.6440501043841336-----
Step 5500, Avg Loss: 0.6525954267978669
Step 6000, Avg Loss: 0.6453662402033806
Step 6500, Avg Loss: 0.6394767596125602
Step 7000, Avg Loss: 0.6322845757603646
Step 7500, Avg Loss: 0.6393984673023224
Step 8000, Avg Loss: 0.6376440699100494
Step 8500, Avg Loss: 0.621928558409214
Step 9000, Avg Loss: 0.62123665112257
Step 9500, Avg Loss: 0.6287574737668037
Step 10000, Avg Loss: 0.6236863001585007
-----Step 10000, F1 Score: 0.7415298274786947-----
Step 10500, Avg Loss: 0.628440239906311
Step 11000, Avg Loss: 0.6235810812711716
Step 11500, Avg Loss: 0.6039895605742931
Step 12000, Avg Loss: 0.6096218292713165
Step 12500, Avg Loss: 0.617270300745964
Step 13000, Avg Loss: 0.5964895287454128
Step 13500, Avg Loss: 0.597344862550497
Step 14000, Avg Loss: 0.606934412330389
Step 14500, Avg Loss: 0.5986415745019913
Step 15000, Avg Loss: 0.6007253950238228
-----Step 15000, F1 Score: 0.7641283890330128-----
Step 15500, Avg Loss: 0.5932575249373913
Step 16000, Avg Loss: 0.5968732132911682
Step 16500, Avg Loss: 0.5762727011740207
Step 17000, Avg Loss: 0.5879935443401336
Step 17500, Avg Loss: 0.57022962012887
Step 18000, Avg Loss: 0.5679839486181736
Step 18500, Avg Loss: 0.5905308841466904
Step 19000, Avg Loss: 0.588796163469553
Step 19500, Avg Loss: 0.56873196169734
Step 20000, Avg Loss: 0.5690919973552228
-----Step 20000, F1 Score: 0.761404798152134-----
Step 20500, Avg Loss: 0.5714060747921467
Step 21000, Avg Loss: 0.5637094561457634
Step 21500, Avg Loss: 0.5583119637072086
Step 22000, Avg Loss: 0.5528937772810459
Step 22500, Avg Loss: 0.5538806252479553
Step 23000, Avg Loss: 0.5571454198956489
Step 23500, Avg Loss: 0.558476219907403
Step 24000, Avg Loss: 0.5459900885820389
Step 24500, Avg Loss: 0.5528735629022121
Step 25000, Avg Loss: 0.5626703922450542
-----Step 25000, F1 Score: 0.7710942734910572-----
Step 25500, Avg Loss: 0.5233970173001289
Step 26000, Avg Loss: 0.5390546543449164
Step 26500, Avg Loss: 0.5210409717559814
Step 27000, Avg Loss: 0.5570712390244007
Step 27500, Avg Loss: 0.5451630239635706
Step 28000, Avg Loss: 0.5332815847843886
Step 28500, Avg Loss: 0.5406016060113907
Step 29000, Avg Loss: 0.5249285012036562
Step 29500, Avg Loss: 0.5414951503276825
Step 30000, Avg Loss: 0.5162149851769209
-----Step 30000, F1 Score: 0.7742270180535381-----
Step 30500, Avg Loss: 0.519266911059618
Step 31000, Avg Loss: 0.5218232824057341
Step 31500, Avg Loss: 0.5169310013055801
Step 32000, Avg Loss: 0.5336934656202793
Step 32500, Avg Loss: 0.5204810538887977
Step 33000, Avg Loss: 0.53296839658916
Step 33500, Avg Loss: 0.5393225483447314
Step 34000, Avg Loss: 0.5213857122063636
Step 34500, Avg Loss: 0.5157219322323799
Step 35000, Avg Loss: 0.4945613933056593
-----Step 35000, F1 Score: 0.7838957365124267-----
Step 35500, Avg Loss: 0.4985829731822014
Step 36000, Avg Loss: 0.5047515544965864
Step 36500, Avg Loss: 0.5191164260208607
Step 37000, Avg Loss: 0.4988700825721025
Step 37500, Avg Loss: 0.5294694407880306
Step 38000, Avg Loss: 0.4897318281009793
Step 38500, Avg Loss: 0.5095207199603319
Step 39000, Avg Loss: 0.48989211781322956
Step 39500, Avg Loss: 0.49130217427015305
Step 40000, Avg Loss: 0.5258757036924362
-----Step 40000, F1 Score: 0.7869900548000812-----
Step 40500, Avg Loss: 0.4969651096910238
Step 41000, Avg Loss: 0.5134115863889456
Step 41500, Avg Loss: 0.4956375676766038
Step 42000, Avg Loss: 0.4663484094068408
Step 42500, Avg Loss: 0.5242786140367389
Step 43000, Avg Loss: 0.49301582128554583
Step 43500, Avg Loss: 0.4940151442065835
Step 44000, Avg Loss: 0.47998401436954735
Step 44500, Avg Loss: 0.50627266523242
Step 45000, Avg Loss: 0.508262222699821
-----Step 45000, F1 Score: 0.792778335005015-----
Step 45500, Avg Loss: 0.48420292531326414
Step 46000, Avg Loss: 0.47786075291782615
Step 46500, Avg Loss: 0.49158642727136614
Step 47000, Avg Loss: 0.5042697136849165
Step 47500, Avg Loss: 0.5198657997250556
Step 48000, Avg Loss: 0.49296661105379463
