
Step 500, Avg Loss: 0.7084251859784126
Step 1000, Avg Loss: 0.6950017162561417
Step 1500, Avg Loss: 0.6903362903594971
Step 2000, Avg Loss: 0.6902565946578979
Step 2500, Avg Loss: 0.6870734243392944
Step 3000, Avg Loss: 0.686999940276146
Step 3500, Avg Loss: 0.688003156542778
Step 4000, Avg Loss: 0.6848646159172058
Step 4500, Avg Loss: 0.6843039947748184
Step 5000, Avg Loss: 0.6842215567827225
-----Step 5000, F1 Score: 0.6565069925196302-----
Step 5500, Avg Loss: 0.6790601686239243
Step 6000, Avg Loss: 0.678177099108696
Step 6500, Avg Loss: 0.6768167854547501
Step 7000, Avg Loss: 0.6758442361354828
Step 7500, Avg Loss: 0.6651076990365982
Step 8000, Avg Loss: 0.6695018519163132
Step 8500, Avg Loss: 0.66348984760046
Step 9000, Avg Loss: 0.661108562707901
Step 9500, Avg Loss: 0.6565447260737419
Step 10000, Avg Loss: 0.6521160188317299
-----Step 10000, F1 Score: 0.6721016304891467-----
Step 10500, Avg Loss: 0.657709210216999
Step 11000, Avg Loss: 0.647985056757927
Step 11500, Avg Loss: 0.6434694321751595
Step 12000, Avg Loss: 0.6507385660409928
Step 12500, Avg Loss: 0.6422839270234108
Step 13000, Avg Loss: 0.6373419682383538
Step 13500, Avg Loss: 0.6280156907439232
Step 14000, Avg Loss: 0.6256624864637852
Step 14500, Avg Loss: 0.6248825616240501
Step 15000, Avg Loss: 0.6245277337431908
-----Step 15000, F1 Score: 0.6796552624706189-----
Step 15500, Avg Loss: 0.6111852464973927
Step 16000, Avg Loss: 0.625480899989605
Step 16500, Avg Loss: 0.6103761206567287
Step 17000, Avg Loss: 0.5985805156230927
Step 17500, Avg Loss: 0.5955312902927399
Step 18000, Avg Loss: 0.5958720129132271
Step 18500, Avg Loss: 0.6110267533659935
Step 19000, Avg Loss: 0.5968111637830734
Step 19500, Avg Loss: 0.5828060226738453
Step 20000, Avg Loss: 0.575328297495842
-----Step 20000, F1 Score: 0.7139991192445075-----
Step 20500, Avg Loss: 0.5824855055809021
Step 21000, Avg Loss: 0.602744159668684
Step 21500, Avg Loss: 0.5783721666038036
Step 22000, Avg Loss: 0.5604749645143747
Step 22500, Avg Loss: 0.5881237705796957
Step 23000, Avg Loss: 0.5555653004646302
Step 23500, Avg Loss: 0.5660630190372467
Step 24000, Avg Loss: 0.5852135939002037
Step 24500, Avg Loss: 0.5394574300348759
Step 25000, Avg Loss: 0.5442994596660137
-----Step 25000, F1 Score: 0.7368421052631579-----
Step 25500, Avg Loss: 0.5462635397017002
Step 26000, Avg Loss: 0.5371911023557187
Step 26500, Avg Loss: 0.5190261925160885
Step 27000, Avg Loss: 0.5420766275823117
Step 27500, Avg Loss: 0.553637594267726
Step 28000, Avg Loss: 0.5337066708952188
Step 28500, Avg Loss: 0.5424652966782451
Step 29000, Avg Loss: 0.544275698415935
Step 29500, Avg Loss: 0.517892691038549
Step 30000, Avg Loss: 0.5219930900335312
-----Step 30000, F1 Score: 0.7433789032941532-----
Step 30500, Avg Loss: 0.5409629561156034
Step 31000, Avg Loss: 0.5242495002374054
Step 31500, Avg Loss: 0.5172019536197185
Step 32000, Avg Loss: 0.5267771967872977
Step 32500, Avg Loss: 0.5309578777253627
Step 33000, Avg Loss: 0.5383313864171505
Step 33500, Avg Loss: 0.5341986501142383
Step 34000, Avg Loss: 0.5166922525987029
Step 34500, Avg Loss: 0.5066475654169917
Step 35000, Avg Loss: 0.4952960186973214
-----Step 35000, F1 Score: 0.7564528494761052-----
Step 35500, Avg Loss: 0.49583838663250207
Step 36000, Avg Loss: 0.510781948748976
Step 36500, Avg Loss: 0.513297597605735
Step 37000, Avg Loss: 0.5120966415405274
Step 37500, Avg Loss: 0.48596067824959754
Step 38000, Avg Loss: 0.4790722111351788
Step 38500, Avg Loss: 0.4793111930079758
Step 39000, Avg Loss: 0.5016230586916208
Step 39500, Avg Loss: 0.4646102330498397
Step 40000, Avg Loss: 0.5139141438417136
-----Step 40000, F1 Score: 0.7730400281251569-----
Step 40500, Avg Loss: 0.48794646602869035
Step 41000, Avg Loss: 0.5015261884331703
Step 41500, Avg Loss: 0.48354823142662645
Step 42000, Avg Loss: 0.4884026502817869
Step 42500, Avg Loss: 0.458054999275133
Step 43000, Avg Loss: 0.4556766729373485
Step 43500, Avg Loss: 0.447362512614578
Step 44000, Avg Loss: 0.46902293304167686
Step 44500, Avg Loss: 0.5025097863543778
Step 45000, Avg Loss: 0.46005913501791657
-----Step 45000, F1 Score: 0.782258064516129-----
Step 45500, Avg Loss: 0.4732770251426846
Step 46000, Avg Loss: 0.4387726647760719
Step 46500, Avg Loss: 0.4737260293904692
Step 47000, Avg Loss: 0.48727622721903024
Step 47500, Avg Loss: 0.48454411643743517
Step 48000, Avg Loss: 0.4711757514886558
Step 48500, Avg Loss: 0.4461500120963901
Step 49000, Avg Loss: 0.4719149010591209
Step 49500, Avg Loss: 0.46933535334654153
Step 50000, Avg Loss: 0.45646619077399375
-----Step 50000, F1 Score: 0.7922179751053612-----
Step 50500, Avg Loss: 0.4966541712917387
Step 51000, Avg Loss: 0.45442783092334865
Step 51500, Avg Loss: 0.4298754115793854
Step 52000, Avg Loss: 0.4696871124692261
Step 52500, Avg Loss: 0.4275592693630606
Step 53000, Avg Loss: 0.4521595785040408
Step 53500, Avg Loss: 0.48553512526676057
Step 54000, Avg Loss: 0.44960246816091237
Step 54500, Avg Loss: 0.4600765398396179
Step 55000, Avg Loss: 0.46414227653574197
-----Step 55000, F1 Score: 0.7953460014226197-----
Step 55500, Avg Loss: 0.44504955143108965
Step 56000, Avg Loss: 0.45318608460295945
Step 56500, Avg Loss: 0.45043218495231124
Step 57000, Avg Loss: 0.4442819635113701
Step 57500, Avg Loss: 0.4360707407044247
Step 58000, Avg Loss: 0.4398851075032726
Step 58500, Avg Loss: 0.45858797898236664
Step 59000, Avg Loss: 0.41314950650837273
Step 59500, Avg Loss: 0.4304524791156873
Step 60000, Avg Loss: 0.4922899181479588
-----Step 60000, F1 Score: 0.8045954145322525-----
Step 60500, Avg Loss: 0.4785744220269844
Step 61000, Avg Loss: 0.423044664000161
Step 61500, Avg Loss: 0.4303131019063294
Step 62000, Avg Loss: 0.44573787665739656
Step 62500, Avg Loss: 0.4371394505123608
Step 63000, Avg Loss: 0.41015017588716
Step 63500, Avg Loss: 0.4048073870264925
Step 64000, Avg Loss: 0.41610480631934477
Step 64500, Avg Loss: 0.46589882906060665
Step 65000, Avg Loss: 0.47173995260242374
-----Step 65000, F1 Score: 0.8070598883692864-----
Step 65500, Avg Loss: 0.4302439044751227
Step 66000, Avg Loss: 0.42439685093425217
Step 66500, Avg Loss: 0.40222526160487904
Step 67000, Avg Loss: 0.40788678310392423
Step 67500, Avg Loss: 0.4581126098651439
Step 68000, Avg Loss: 0.43276815478364006
Step 68500, Avg Loss: 0.42487673873547466
Step 69000, Avg Loss: 0.402131794213783
Step 69500, Avg Loss: 0.42610319904144855
Step 70000, Avg Loss: 0.4093465966498479
-----Step 70000, F1 Score: 0.811394694533762-----
Step 70500, Avg Loss: 0.379155134819448
Step 71000, Avg Loss: 0.4159233203451149
Step 71500, Avg Loss: 0.3974622293482535
Step 72000, Avg Loss: 0.4204684457066469
Step 72500, Avg Loss: 0.4250494124912657
Step 73000, Avg Loss: 0.44793614871334286
Step 73500, Avg Loss: 0.4269139830246568
Step 74000, Avg Loss: 0.46501255449885504
Step 74500, Avg Loss: 0.40268128478573634
