
Step 500, Avg Loss: 0.6585261280536652
Step 1000, Avg Loss: 0.588288115888834
Step 1500, Avg Loss: 0.49331739208102227
Step 2000, Avg Loss: 0.4690331605821848
Step 2500, Avg Loss: 0.45461328185349703
Step 3000, Avg Loss: 0.4202568056937307
Step 3500, Avg Loss: 0.4250619411766529
Step 4000, Avg Loss: 0.4119535769186914
Step 4500, Avg Loss: 0.43259586121607574
Step 5000, Avg Loss: 0.41989133388083427
-----Step 5000, F1 Score: 0.8107388052054514-----
Step 5500, Avg Loss: 0.43782096449518576
Step 6000, Avg Loss: 0.40278112137923017
Step 6500, Avg Loss: 0.3646523697455414
Step 7000, Avg Loss: 0.4030539598351461
Step 7500, Avg Loss: 0.36578163363435306
Step 8000, Avg Loss: 0.3812205447567976
Step 8500, Avg Loss: 0.41734837072028313
Step 9000, Avg Loss: 0.3782161063233507
Step 9500, Avg Loss: 0.39298720632540063
Step 10000, Avg Loss: 0.35222458238515536
-----Step 10000, F1 Score: 0.8356727491477842-----
Step 10500, Avg Loss: 0.4050272691650316
Step 11000, Avg Loss: 0.36462016226910055
Step 11500, Avg Loss: 0.4122610926445341
Step 12000, Avg Loss: 0.41204050661157815
Step 12500, Avg Loss: 0.3552545057483949
Step 13000, Avg Loss: 0.35166755587374793
Step 13500, Avg Loss: 0.3801795985728968
Step 14000, Avg Loss: 0.3709047503303736
Step 14500, Avg Loss: 0.3699210412537213
Step 15000, Avg Loss: 0.33769004937121644
-----Step 15000, F1 Score: 0.8416257883672039-----
Step 15500, Avg Loss: 0.3287555356218945
Step 16000, Avg Loss: 0.3851763987438753
Step 16500, Avg Loss: 0.3845808919176343
Step 17000, Avg Loss: 0.3484454422260169
Step 17500, Avg Loss: 0.37556325930485035
Step 18000, Avg Loss: 0.3525105030199047
Step 18500, Avg Loss: 0.3661194790042937
Step 19000, Avg Loss: 0.3519984446193557
Step 19500, Avg Loss: 0.3345981009907555
Step 20000, Avg Loss: 0.35185218867938967
-----Step 20000, F1 Score: 0.8401987166218174-----
Step 20500, Avg Loss: 0.3397710040211678
Step 21000, Avg Loss: 0.3349284100432415
Step 21500, Avg Loss: 0.4049604397253133
Step 22000, Avg Loss: 0.3618570626247674
Step 22500, Avg Loss: 0.3710083685074933
Step 23000, Avg Loss: 0.3520255438843742
Step 23500, Avg Loss: 0.34101182011468334
Step 24000, Avg Loss: 0.3527833272709977
Step 24500, Avg Loss: 0.33602363707032057
Step 25000, Avg Loss: 0.3173510304141091
-----Step 25000, F1 Score: 0.8481670061099796-----
Step 25500, Avg Loss: 0.3236398724495666
Step 26000, Avg Loss: 0.3604783495240845
Step 26500, Avg Loss: 0.3155438967470545
Step 27000, Avg Loss: 0.35074343495472565
Step 27500, Avg Loss: 0.3240918057952658
Step 28000, Avg Loss: 0.3002009402826079
Step 28500, Avg Loss: 0.3534890220211528
Step 29000, Avg Loss: 0.3576882341048331
Step 29500, Avg Loss: 0.34213676010881316
Step 30000, Avg Loss: 0.3261282328191155
-----Step 30000, F1 Score: 0.8545463776209575-----
Step 30500, Avg Loss: 0.3742167062827502
Step 31000, Avg Loss: 0.32395513308828233
Step 31500, Avg Loss: 0.3252214680556208
Step 32000, Avg Loss: 0.3391149686423596
Step 32500, Avg Loss: 0.3655071064672666
Step 33000, Avg Loss: 0.3108320615143748
Step 33500, Avg Loss: 0.35547204316663555
Step 34000, Avg Loss: 0.31874947028188033
Step 34500, Avg Loss: 0.32960334194940516
Step 35000, Avg Loss: 0.3054761087927618
-----Step 35000, F1 Score: 0.8577636299327978-----
Step 35500, Avg Loss: 0.3617135516593116
Step 36000, Avg Loss: 0.36553746317268815
Step 36500, Avg Loss: 0.3623410951587139
Step 37000, Avg Loss: 0.3820676778486231
Step 37500, Avg Loss: 0.35937558957585136
Step 38000, Avg Loss: 0.3219800618928857
Step 38500, Avg Loss: 0.3644109120264184
Step 39000, Avg Loss: 0.32630865162960254
Step 39500, Avg Loss: 0.32019331990915817
Step 40000, Avg Loss: 0.3347634640504839
-----Step 40000, F1 Score: 0.859159901164843-----
Step 40500, Avg Loss: 0.27643941749376244
Step 41000, Avg Loss: 0.3457947232880397
Step 41500, Avg Loss: 0.2863517633532756
Step 42000, Avg Loss: 0.35200499521133316
Step 42500, Avg Loss: 0.32487832344014894
Step 43000, Avg Loss: 0.2832192645116593
Step 43500, Avg Loss: 0.3426477010205854
Step 44000, Avg Loss: 0.31301528702420184
Step 44500, Avg Loss: 0.3378305569845252
Step 45000, Avg Loss: 0.37822276531963145
-----Step 45000, F1 Score: 0.861582207779019-----
Step 45500, Avg Loss: 0.3260108119593351
Step 46000, Avg Loss: 0.3066933746998111
Step 46500, Avg Loss: 0.33802543352288195
Step 47000, Avg Loss: 0.3473899297790922
Step 47500, Avg Loss: 0.2813302045178498
Step 48000, Avg Loss: 0.38422111035227496
Step 48500, Avg Loss: 0.37990106870012824
Step 49000, Avg Loss: 0.36659217147302114
Step 49500, Avg Loss: 0.29437975353480944
Step 50000, Avg Loss: 0.3434574086938228
-----Step 50000, F1 Score: 0.865231139888571-----
Step 50500, Avg Loss: 0.27087714163437704
Step 51000, Avg Loss: 0.31388881427441084
Step 51500, Avg Loss: 0.31554506150179806
Step 52000, Avg Loss: 0.34979228828070336
Step 52500, Avg Loss: 0.29049068074325624
Step 53000, Avg Loss: 0.31976188460711275
Step 53500, Avg Loss: 0.3460005544512778
Step 54000, Avg Loss: 0.3540966088832647
Step 54500, Avg Loss: 0.31910121118297685
Step 55000, Avg Loss: 0.36687172831113274
-----Step 55000, F1 Score: 0.8651190714428657-----
Step 55500, Avg Loss: 0.3351142659627149
Step 56000, Avg Loss: 0.3426278533036057
Step 56500, Avg Loss: 0.28492372969534974
Step 57000, Avg Loss: 0.34968495255893867
Step 57500, Avg Loss: 0.3129419135849348
Step 58000, Avg Loss: 0.32872675057140804
Step 58500, Avg Loss: 0.3601466570822231
Step 59000, Avg Loss: 0.3396324449556414
Step 59500, Avg Loss: 0.3015319093145663
Early stopping triggered due to no improvement.
   inst_id                                               text  predicted_label
0        0  Really sad review as I absolutely loved the fi...              0.0
1        1  Excellent content, perfect for Christians who ...              1.0
2        2  This is an okay book if you need advice on bud...              0.0
3        3  This is one book you can't put down! This book...              1.0
4        4  There were to many names that I had no idenity...              0.0
