
Step 500, Avg Loss: 0.6956690648198127
Step 1000, Avg Loss: 0.6723076009750366
Step 1500, Avg Loss: 0.6670950347185135
Step 2000, Avg Loss: 0.6482456392645836
Step 2500, Avg Loss: 0.6411556444764137
Step 3000, Avg Loss: 0.6440452924966812
Step 3500, Avg Loss: 0.642035263478756
Step 4000, Avg Loss: 0.6155451670289039
Step 4500, Avg Loss: 0.6345571668744088
Step 5000, Avg Loss: 0.6184599492549896
-----Step 5000, F1 Score: 0.7295796059170906-----
Step 5500, Avg Loss: 0.6288905228376389
Step 6000, Avg Loss: 0.6165714702606201
Step 6500, Avg Loss: 0.6188103927969932
Step 7000, Avg Loss: 0.6108842524290085
Step 7500, Avg Loss: 0.6034917908310891
Step 8000, Avg Loss: 0.6048341545462609
Step 8500, Avg Loss: 0.5948698061108589
Step 9000, Avg Loss: 0.5887811522483826
Step 9500, Avg Loss: 0.5996383084058762
Step 10000, Avg Loss: 0.6116585068702698
-----Step 10000, F1 Score: 0.7751990513298322-----
Step 10500, Avg Loss: 0.5819422152042389
Step 11000, Avg Loss: 0.5971354619860649
Step 11500, Avg Loss: 0.586550352692604
Step 12000, Avg Loss: 0.5823156802654267
Step 12500, Avg Loss: 0.5954288076162338
Step 13000, Avg Loss: 0.582119647204876
Step 13500, Avg Loss: 0.5885349225997925
Step 14000, Avg Loss: 0.5767966299653053
Step 14500, Avg Loss: 0.5804958023428917
Step 15000, Avg Loss: 0.5959519520401955
-----Step 15000, F1 Score: 0.8060296096904441-----
Step 15500, Avg Loss: 0.5854067654013634
Step 16000, Avg Loss: 0.5881222926974297
Step 16500, Avg Loss: 0.5940869943499565
Step 17000, Avg Loss: 0.5852910684943199
Step 17500, Avg Loss: 0.5953176509737969
Step 18000, Avg Loss: 0.5800307019352913
Step 18500, Avg Loss: 0.5892690547704696
Step 19000, Avg Loss: 0.5812858642339707
Step 19500, Avg Loss: 0.599235268831253
Step 20000, Avg Loss: 0.5882269282937049
-----Step 20000, F1 Score: 0.8049377345151993-----
Step 20500, Avg Loss: 0.5729572106003761
Step 21000, Avg Loss: 0.5811261402964591
Step 21500, Avg Loss: 0.6066951820850373
Step 22000, Avg Loss: 0.5908632363677024
Step 22500, Avg Loss: 0.5869264202713966
Step 23000, Avg Loss: 0.5754633771777153
Step 23500, Avg Loss: 0.5649533885121345
Step 24000, Avg Loss: 0.5713500972986222
Step 24500, Avg Loss: 0.5877290050983429
Step 25000, Avg Loss: 0.596910691022873
-----Step 25000, F1 Score: 0.8047123287671233-----
Step 25500, Avg Loss: 0.5738621366620064
Step 26000, Avg Loss: 0.5923107631802559
Step 26500, Avg Loss: 0.5732173256874085
Step 27000, Avg Loss: 0.5920658019781113
Step 27500, Avg Loss: 0.5874990059137344
Step 28000, Avg Loss: 0.5805137992501259
Step 28500, Avg Loss: 0.5927346869111061
Step 29000, Avg Loss: 0.5948119310140609
Step 29500, Avg Loss: 0.5842143667936325
Step 30000, Avg Loss: 0.5825775186419487
-----Step 30000, F1 Score: 0.8089961242425897-----
Step 30500, Avg Loss: 0.5862287712097168
Step 31000, Avg Loss: 0.5952610387802124
Step 31500, Avg Loss: 0.5690458564162254
Step 32000, Avg Loss: 0.5858893649578094
Step 32500, Avg Loss: 0.5817653439640998
Step 33000, Avg Loss: 0.5882788574695588
Step 33500, Avg Loss: 0.5787287414073944
Step 34000, Avg Loss: 0.5689450325965881
Step 34500, Avg Loss: 0.5901739574670791
Step 35000, Avg Loss: 0.5793031327128411
-----Step 35000, F1 Score: 0.8123976863472662-----
Step 35500, Avg Loss: 0.5802859429121018
Step 36000, Avg Loss: 0.5816460728049279
Step 36500, Avg Loss: 0.5887540965676308
Step 37000, Avg Loss: 0.5864323269128799
