
Step 500, Avg Loss: 0.7063740156888961
Step 1000, Avg Loss: 0.6690838242173195
Step 1500, Avg Loss: 0.6710940192937851
Step 2000, Avg Loss: 0.6416965731978417
Step 2500, Avg Loss: 0.664360339820385
Step 3000, Avg Loss: 0.6408256154060363
Step 3500, Avg Loss: 0.6219880764484406
Step 4000, Avg Loss: 0.6262354829907417
Step 4500, Avg Loss: 0.6182727155685425
Step 5000, Avg Loss: 0.6229372587800026
-----Step 5000, F1 Score: 0.7150351734827709-----
Step 5500, Avg Loss: 0.6173186347484588
Step 6000, Avg Loss: 0.6325475800037385
Step 6500, Avg Loss: 0.5887129383683205
Step 7000, Avg Loss: 0.6063905549049378
Step 7500, Avg Loss: 0.5964332305192948
Step 8000, Avg Loss: 0.6053036161065102
Step 8500, Avg Loss: 0.576331036567688
Step 9000, Avg Loss: 0.5984818696379661
Step 9500, Avg Loss: 0.6024626339673996
Step 10000, Avg Loss: 0.5853106815218926
-----Step 10000, F1 Score: 0.7879639133488197-----
Step 10500, Avg Loss: 0.6045066975951194
Step 11000, Avg Loss: 0.5990895519852638
Step 11500, Avg Loss: 0.6025713908672333
Step 12000, Avg Loss: 0.5945930997729302
Step 12500, Avg Loss: 0.6004578600525856
Step 13000, Avg Loss: 0.5832919328808784
Step 13500, Avg Loss: 0.5881819829940796
Step 14000, Avg Loss: 0.5846521648168563
Step 14500, Avg Loss: 0.5884763289690018
Step 15000, Avg Loss: 0.5964366135597229
-----Step 15000, F1 Score: 0.7872622733303848-----
Step 15500, Avg Loss: 0.5868490883708
Step 16000, Avg Loss: 0.5907454125285149
Step 16500, Avg Loss: 0.6083347199559211
Step 17000, Avg Loss: 0.5986561837792397
Step 17500, Avg Loss: 0.5974684547781944
Step 18000, Avg Loss: 0.5960528343319893
Step 18500, Avg Loss: 0.5927959544062614
Step 19000, Avg Loss: 0.5859969104528427
Step 19500, Avg Loss: 0.6022085729837418
Step 20000, Avg Loss: 0.5752854390740395
-----Step 20000, F1 Score: 0.8190939180802648-----
Step 20500, Avg Loss: 0.5841937635540962
Step 21000, Avg Loss: 0.5913211702108383
Step 21500, Avg Loss: 0.6059050390124321
Step 22000, Avg Loss: 0.5849579461812973
Step 22500, Avg Loss: 0.5786286098361015
Step 23000, Avg Loss: 0.5815764282941818
Step 23500, Avg Loss: 0.5974919819831848
Step 24000, Avg Loss: 0.5781187584400177
Step 24500, Avg Loss: 0.5815025776624679
Step 25000, Avg Loss: 0.5902935691475868
-----Step 25000, F1 Score: 0.8021671318338532-----
Step 25500, Avg Loss: 0.5879892176389694
Step 26000, Avg Loss: 0.5951767399907112
Step 26500, Avg Loss: 0.5770009518861771
Step 27000, Avg Loss: 0.5866852464675903
Step 27500, Avg Loss: 0.5723925878405571
Step 28000, Avg Loss: 0.573945918083191
Step 28500, Avg Loss: 0.5869149792790412
Step 29000, Avg Loss: 0.5875555686950683
Step 29500, Avg Loss: 0.5734931641817093
Step 30000, Avg Loss: 0.5988189781904221
-----Step 30000, F1 Score: 0.8237762971512512-----
Step 30500, Avg Loss: 0.5714372782111168
Step 31000, Avg Loss: 0.5964570460319519
Step 31500, Avg Loss: 0.5869756731390953
Step 32000, Avg Loss: 0.6010741205215454
Step 32500, Avg Loss: 0.5907238699197769
Step 33000, Avg Loss: 0.6006404414772988
Step 33500, Avg Loss: 0.5966116207838058
Step 34000, Avg Loss: 0.5803368100523949
Step 34500, Avg Loss: 0.5767328258752823
Step 35000, Avg Loss: 0.5910669071674347
-----Step 35000, F1 Score: 0.7973746213396163-----
Step 35500, Avg Loss: 0.5757625764608383
Step 36000, Avg Loss: 0.5886339101791381
Step 36500, Avg Loss: 0.5846765399575233
Step 37000, Avg Loss: 0.6092647631764412
Step 37500, Avg Loss: 0.5664687757492065
Step 38000, Avg Loss: 0.5788147478699684
Step 38500, Avg Loss: 0.5836858942508697
Step 39000, Avg Loss: 0.5830487979054451
Step 39500, Avg Loss: 0.5712072343230248
Step 40000, Avg Loss: 0.585852700650692
