
Step 500, Avg Loss: 0.6647664252519607
Step 1000, Avg Loss: 0.5674404768794775
Step 1500, Avg Loss: 0.5355042623952031
Step 2000, Avg Loss: 0.4714980525150895
Step 2500, Avg Loss: 0.4787217322997749
Step 3000, Avg Loss: 0.44343255343101917
Step 3500, Avg Loss: 0.43280329973530024
Step 4000, Avg Loss: 0.37574428563565015
Step 4500, Avg Loss: 0.4118676066175103
Step 5000, Avg Loss: 0.3628025410901755
-----Step 5000, F1 Score: 0.8034399355012094-----
Step 5500, Avg Loss: 0.37146949844644406
Step 6000, Avg Loss: 0.35629325722763316
Step 6500, Avg Loss: 0.4159240174258593
Step 7000, Avg Loss: 0.40242673734994605
Step 7500, Avg Loss: 0.3839249237542972
Step 8000, Avg Loss: 0.36940104012587105
Step 8500, Avg Loss: 0.3671781004606746
Step 9000, Avg Loss: 0.3696607590555213
Step 9500, Avg Loss: 0.41489909155503846
Step 10000, Avg Loss: 0.3680297930869274
-----Step 10000, F1 Score: 0.8394834840644194-----
Step 10500, Avg Loss: 0.36267806810000913
Step 11000, Avg Loss: 0.41367440670612265
Step 11500, Avg Loss: 0.3561366363647394
Step 12000, Avg Loss: 0.32690315719670615
Step 12500, Avg Loss: 0.336351114445657
Step 13000, Avg Loss: 0.31304214836074973
Step 13500, Avg Loss: 0.3807245648212265
Step 14000, Avg Loss: 0.301390778364148
Step 14500, Avg Loss: 0.34035366296418945
Step 15000, Avg Loss: 0.3633376115412684
-----Step 15000, F1 Score: 0.8411542100283822-----
Step 15500, Avg Loss: 0.3506062131989747
Step 16000, Avg Loss: 0.395082979789353
Step 16500, Avg Loss: 0.3556989714910742
Step 17000, Avg Loss: 0.33425802052905784
Step 17500, Avg Loss: 0.3545018156936858
Step 18000, Avg Loss: 0.35488882386568005
Step 18500, Avg Loss: 0.3828610596717335
Step 19000, Avg Loss: 0.3408258020062931
Step 19500, Avg Loss: 0.32265564011398234
Step 20000, Avg Loss: 0.3123721880065277
-----Step 20000, F1 Score: 0.8506827627152187-----
Step 20500, Avg Loss: 0.3449524916973896
Step 21000, Avg Loss: 0.3180711863767356
Step 21500, Avg Loss: 0.3556764817209914
Step 22000, Avg Loss: 0.34748998650023716
Step 22500, Avg Loss: 0.31725348681234755
Step 23000, Avg Loss: 0.37884341408195904
