inst_id	text	Security: personal
A01002	We should ban human cloning because as it will only cause huge issues when you have a bunch of the same humans running around all acting the same.	0
A01005	We should ban fast food because fast food should be banned because it is really bad for your health and is costly.	1
A01006	We not should end the use of economic sanctions because sometimes economic sanctions are the only thing that will get the corrupt governments to take action	0
A01007	We not should abolish capital punishment because capital punishment is sometimes the only option to keep criminals from committing more crimes.	0
A01008	We not should ban factory farming because factory farming allows for the production of cheap food, which is a necessity for families surviving on a low income.	1
A01009	We not should fight for the abolition of nuclear weapons because nuclear weapons help keep the peace in uncertain times	0
A01010	We not should prohibit school prayer because it should be allowed if the student wants to pray as long as it is not interfering with his classes	0
A01011	We should abolish the three-strikes laws because three strike laws can cause young people to be put away for life without a chance to straight out their life	0
A01014	We not should adopt an austerity regime because adopting austerity regime will have very negative impact on the poor and the vulnerable in society.	0
A01015	We should adopt an austerity regime because because it is unfair to expect future generations to settle the debts that we run up	1
A01016	We not should adopt gender-neutral language because gender neutral language is just another way to try to please a group.  we have two sexes, men and women and they should be differentiate by the use of words.	0
A01018	We not should end the use of economic sanctions because economic sanctions provide a non-military sanction to use against countries.	0
A01019	We should ban factory farming because factory farming cuts too many health and safety corners as opposed to smaller family farms, this leads to potentially unsafe and unhealthy products.	1
A01020	We should subsidize journalism because it is important for news organizations to transfer to new forms of media, like the internet, but it is costly and requires subsidization.	0
A02003	We not should cancel pride parades because there are parades for every group and it is discrimination not to give gays their parade	0
A02004	We should ban cosmetic surgery for minors because children have not grown and truly formed their adult looks.   cosmetic surgery for a child should be banned until as an adult the child can make a informed choice over their bodies not a whim of a child.	0
A02005	We should legalize prostitution because because it will be regulated meaning the females will be safer	1
A02006	We should subsidize embryonic stem cell research because embryonic stem cell research should be subsidized because it may lead to the development of treatments for a number of serious medical conditions.	1
A02007	We should ban algorithmic trading because algorithms may not be 100% accurate and reflect the situation in the real market	0
A02008	We should legalize organ trade because we should legalize the organ trade because currently people are punished for obeying the law and not purchasing organs, in the form of longer wait times.	0
A02010	We not should legalize cannabis because if you start legalizing drugs it could open up the floodgates for more legalization of dangerous drugs.	0
A02011	We should fight for the abolition of nuclear weapons because nuclear weapons pose too serious a threat to our world.  we must abolish them now.	0
